241,2001/01/27,THEFT
11,2001/01/27,WEAPONS VIOLATION
4,2001/01/28,ARSON
61,2001/01/28,ASSAULT
217,2001/01/28,BATTERY
60,2001/01/28,BURGLARY
116,2001/01/28,CRIMINAL DAMAGE
27,2001/01/28,CRIMINAL TRESPASS
2,2001/01/28,CRIM SEXUAL ASSAULT
27,2001/01/28,DECEPTIVE PRACTICE
3,2001/01/28,GAMBLING
1,2001/01/28,HOMICIDE
3,2001/01/28,INTERFERENCE WITH PUBLIC OFFICER
2,2001/01/28,KIDNAPPING
74,2001/01/28,MOTOR VEHICLE THEFT
99,2001/01/28,NARCOTICS
6,2001/01/28,OFFENSE INVOLVING CHILDREN
89,2001/01/28,OTHER OFFENSE
34,2001/01/28,PROSTITUTION
5,2001/01/28,PUBLIC PEACE VIOLATION
50,2001/01/28,ROBBERY
8,2001/01/28,SEX OFFENSE
179,2001/01/28,THEFT
9,2001/01/28,WEAPONS VIOLATION
3,2001/01/29,ARSON
79,2001/01/29,ASSAULT
214,2001/01/29,BATTERY
77,2001/01/29,BURGLARY
87,2001/01/29,CRIMINAL DAMAGE
33,2001/01/29,CRIMINAL TRESPASS
3,2001/01/29,CRIM SEXUAL ASSAULT
40,2001/01/29,DECEPTIVE PRACTICE
2,2001/01/29,GAMBLING
1,2001/01/29,HOMICIDE
3,2001/01/29,KIDNAPPING
3,2001/01/29,LIQUOR LAW VIOLATION
71,2001/01/29,MOTOR VEHICLE THEFT
131,2001/01/29,NARCOTICS
4,2001/01/29,OFFENSE INVOLVING CHILDREN
89,2001/01/29,OTHER OFFENSE
14,2001/01/29,PROSTITUTION
6,2001/01/29,PUBLIC PEACE VIOLATION
44,2001/01/29,ROBBERY
3,2001/01/29,SEX OFFENSE
1,2001/01/29,STALKING
254,2001/01/29,THEFT
10,2001/01/29,WEAPONS VIOLATION
4,2001/01/30,ARSON
65,2001/01/30,ASSAULT
210,2001/01/30,BATTERY
62,2001/01/30,BURGLARY
124,2001/01/30,CRIMINAL DAMAGE
40,2001/01/30,CRIMINAL TRESPASS
6,2001/01/30,CRIM SEXUAL ASSAULT
50,2001/01/30,DECEPTIVE PRACTICE
3,2001/01/30,GAMBLING
2,2001/01/30,HOMICIDE
2,2001/01/30,LIQUOR LAW VIOLATION
